bootstrap_iter,boot_seed,rank,lambda,sse_test,fms,n_train,n_test,converged,error
0,42,5,0.0,688275.1808667248,0.39648774026407285,15,13,True,
0,42,5,0.01,679519.0303098215,0.4303528658532837,15,13,True,
0,42,5,0.05,679416.3630708773,0.42589631174174397,15,13,True,
0,42,5,0.1,679459.8848748554,0.4202343461397084,15,13,True,
0,42,5,0.5,679804.1846977972,0.38724373160594466,15,13,True,
0,42,5,1.0,680046.1576604894,0.40737311532519993,15,13,True,
0,42,5,2.0,680423.6448802996,0.4071688464311384,15,13,True,
0,42,5,5.0,682007.2138528171,0.3530012594028336,15,13,True,
0,42,10,0.0,629599.792198724,0.4785581396441859,15,13,True,
0,42,10,0.01,633096.2064985976,0.5471415928287451,15,13,True,
0,42,10,0.05,636958.0050239041,0.5169665664460646,15,13,True,
0,42,10,0.1,639045.6094925057,0.5391956126598106,15,13,True,
0,42,10,0.5,642405.8307656952,0.5127961497780469,15,13,True,
0,42,10,1.0,642866.6434894146,0.49375404964029385,15,13,True,
0,42,10,2.0,642534.4000680835,0.4605242396853438,15,13,True,
0,42,10,5.0,643257.7740537794,0.5031135382377796,15,13,True,
0,42,15,0.0,607179.8910084432,0.4804202181719966,15,13,True,
0,42,15,0.01,617648.6383996763,0.46178438781754877,15,13,True,
0,42,15,0.05,616317.7823421241,0.4676281981385413,15,13,True,
0,42,15,0.1,611473.4462665633,0.45191744996507904,15,13,True,
0,42,15,0.5,612537.1518321605,0.555339959523112,15,13,True,
0,42,15,1.0,612383.3531057219,0.44960616208923204,15,13,True,
0,42,15,2.0,617177.1986906801,0.4527727905813915,15,13,True,
0,42,15,5.0,620697.7908560982,0.47020230261971235,15,13,True,
0,42,20,0.0,600761.2520559909,0.4562073968110859,15,13,True,
0,42,20,0.01,595225.8186466958,0.5014527834080197,15,13,True,
0,42,20,0.05,596945.9545223648,0.49312391661427935,15,13,True,
0,42,20,0.1,597673.1883809346,0.4931084237901125,15,13,True,
0,42,20,0.5,594587.3277313343,0.5212102669410467,15,13,True,
0,42,20,1.0,596665.7108376486,0.503352656366008,15,13,True,
0,42,20,2.0,594948.7202967667,0.5123440485049751,15,13,True,
0,42,20,5.0,595147.5832175649,0.5039761653918442,15,13,True,
0,42,25,0.0,576621.5736353836,0.44854138399803267,15,13,True,
0,42,25,0.01,587517.5332223605,0.5332888203152898,15,13,True,
0,42,25,0.05,586984.8401150521,0.4588534819860467,15,13,True,
0,42,25,0.1,587555.327148363,0.5049408566239048,15,13,True,
0,42,25,0.5,586698.7095465658,0.4975673909157542,15,13,True,
0,42,25,1.0,582380.5625109468,0.5580591086153539,15,13,True,
0,42,25,2.0,583648.0309212619,0.5493058287254101,15,13,True,
0,42,25,5.0,588348.005058189,0.5305201213099625,15,13,True,
0,42,30,0.0,570754.0459256149,0.4908763674903757,15,13,True,
0,42,30,0.01,571522.0197520326,0.48371952352689557,15,13,True,
0,42,30,0.05,573045.0840636716,0.4729898456748978,15,13,True,
0,42,30,0.1,572860.0879578006,0.48532460594542687,15,13,True,
0,42,30,0.5,573046.2578465411,0.5105997374297699,15,13,True,
0,42,30,1.0,572066.2300884633,0.5568635709554646,15,13,True,
0,42,30,2.0,571631.5476117498,0.5711728876793063,15,13,True,
0,42,30,5.0,567111.6077087896,0.532604674420684,15,13,True,
0,42,35,0.0,564097.0255941612,0.5352069300584512,15,13,True,
0,42,35,0.01,565923.4071745876,0.5154452101606442,15,13,True,
0,42,35,0.05,563055.1260454791,0.48972900020616833,15,13,True,
