bootstrap_iter,boot_seed,rank,lambda,sse_test,fms,n_train,n_test,converged,error
0,42,5,0.0,689951.9181938282,0.3244096354500382,15,13,True,
0,42,5,0.01,696601.103845882,0.41579030825396296,15,13,True,
0,42,5,0.05,696906.4549716216,0.42186315903466165,15,13,True,
0,42,5,0.1,697151.7709625978,0.40919412053815496,15,13,True,
0,42,5,0.5,698957.7451078831,0.3782873337510012,15,13,True,
0,42,5,1.0,699632.3924937277,0.32540498728432654,15,13,True,
0,42,5,2.0,700202.6956016689,0.34820057069765986,15,13,True,
0,42,5,5.0,693662.425668256,0.37945604186149345,15,13,True,
0,42,10,0.0,648116.811233962,0.44402726594956743,15,13,True,
0,42,10,0.01,650056.8398780863,0.47513843610961315,15,13,True,
0,42,10,0.05,651166.2088425256,0.4543277298091084,15,13,True,
0,42,10,0.1,651425.7269425825,0.4594465669847641,15,13,True,
0,42,10,0.5,644232.3670366211,0.43308009641197476,15,13,True,
0,42,10,1.0,644252.5817661219,0.45289815812880835,15,13,True,
0,42,10,2.0,643981.3414153098,0.49511961492918405,15,13,True,
0,42,10,5.0,654672.2117074957,0.49289544918526673,15,13,True,
0,42,15,0.0,627602.93490625,0.35796507982628456,15,13,True,
0,42,15,0.01,630421.8326195439,0.4785094137261468,15,13,True,
0,42,15,0.05,632606.0680970565,0.5007159073160391,15,13,True,
0,42,15,0.1,630610.5454107082,0.5213477351660268,15,13,True,
0,42,15,0.5,630307.2217331972,0.47727841731340137,15,13,True,
0,42,15,1.0,631938.989018249,0.4494252661489479,15,13,True,
0,42,15,2.0,632281.4682537331,0.5713764945962772,15,13,True,
0,42,15,5.0,630692.9547517058,0.559143325210417,15,13,True,
0,42,20,0.0,605963.5302484771,0.5226789836166693,15,13,True,
0,42,20,0.01,609039.3066733165,0.48405830102155517,15,13,True,
0,42,20,0.05,609509.5192467035,0.4683169692863598,15,13,True,
0,42,20,0.1,609520.1690321025,0.4576003651623444,15,13,True,
0,42,20,0.5,607961.465867876,0.47850654977657375,15,13,True,
0,42,20,1.0,605704.9344119643,0.5352275834476374,15,13,True,
0,42,20,2.0,603067.3804216225,0.5504925493228645,15,13,True,
0,42,20,5.0,604677.0707140876,0.5583791488554477,15,13,True,
0,42,25,0.0,587138.2503101523,0.5376016049327983,15,13,True,
0,42,25,0.01,594454.8437688152,0.5289092826896344,15,13,True,
0,42,25,0.05,594182.7246092402,0.49079008677410313,15,13,True,
0,42,25,0.1,595256.2521378873,0.47787745126771486,15,13,True,
0,42,25,0.5,596991.2362037485,0.4958929040357263,15,13,True,
0,42,25,1.0,592730.5437425179,0.5427679130285847,15,13,True,
0,42,25,2.0,594257.0324352413,0.5670876358582343,15,13,True,
0,42,25,5.0,591830.0282818516,0.5485334549465579,15,13,True,
0,42,30,0.0,577368.5148845162,0.4980588049240543,15,13,True,
0,42,30,0.01,579336.3745402258,0.47541895897931324,15,13,True,
0,42,30,0.05,581626.9117948463,0.41507325723743593,15,13,True,
0,42,30,0.1,580468.4506012024,0.3934463705365944,15,13,True,
0,42,30,0.5,582395.6542810809,0.5477036690856488,15,13,True,
0,42,30,1.0,571944.5907469043,0.5803163607598024,15,13,True,
0,42,30,2.0,578973.6187761762,0.5490505964623242,15,13,True,
0,42,30,5.0,583156.7283776021,0.5373313375449944,15,13,True,
0,42,35,0.0,574577.605250664,0.49291608672023546,15,13,True,
0,42,35,0.01,571015.3989983236,0.5254898588721463,15,13,True,
0,42,35,0.05,573574.2253472869,0.47493080328976317,15,13,True,
0,42,35,0.1,575285.489010989,0.45973790829371586,15,13,True,
0,42,35,0.5,571626.8284779171,0.48419693343382186,15,13,True,
0,42,35,1.0,567787.350207091,0.5062420668411944,15,13,True,
0,42,35,2.0,574612.7465942329,0.5514440354740401,15,13,True,
0,42,35,5.0,571633.5017693802,0.5350570200977021,15,13,True,
0,42,40,0.0,564818.1919694793,0.5649288052304101,15,13,True,
0,42,40,0.01,559342.1600064366,0.4422960000058394,15,13,True,
0,42,40,0.05,564598.623076567,0.44089670411079573,15,13,True,
0,42,40,0.1,565794.4662797427,0.4396313766166277,15,13,True,
0,42,40,0.5,553508.5476297411,0.507283343523882,15,13,True,
0,42,40,1.0,560282.8347379529,0.5160197902939438,15,13,True,
0,42,40,2.0,557721.5142738787,0.5178421904625133,15,13,True,
0,42,40,5.0,563584.0733004584,0.5527076797575818,15,13,True,
