"","GO.ID","Term","Annotated","Significant","Expected","Fisher","type","miRNA"
"1","GO:0000082","G1/S transition of mitotic cell cycle",104,9,2.67,0.00083,"Biological.Process","Cluster_10452"
"2","GO:0001913","T cell mediated cytotoxicity",1,1,0.03,0.02564,"Biological.Process","Cluster_10452"
"3","GO:0002230","positive regulation of defense response to virus by...",1,1,0.03,0.02564,"Biological.Process","Cluster_10452"
"4","GO:0001172","RNA-templated transcription",1,1,0.03,0.02564,"Biological.Process","Cluster_10452"
"5","GO:0004176","ATP-dependent peptidase activity",2,2,0.06,0.001,"Molecular.Function","Cluster_10452"
"6","GO:0003964","RNA-directed DNA polymerase activity",122,11,3.87,0.0014,"Molecular.Function","Cluster_10452"
"7","GO:0004129","cytochrome-c oxidase activity",1,1,0.03,0.0317,"Molecular.Function","Cluster_10452"
"8","GO:0000254","C-4 methylsterol oxidase activity",1,1,0.03,0.0317,"Molecular.Function","Cluster_10452"
"9","GO:0004334","fumarylacetoacetase activity",1,1,0.03,0.0317,"Molecular.Function","Cluster_10452"
"10","GO:0004862","cAMP-dependent protein kinase inhibitor activity",1,1,0.03,0.0317,"Molecular.Function","Cluster_10452"
"11","GO:0008137","NADH dehydrogenase (ubiquinone) activity",1,1,0.03,0.0317,"Molecular.Function","Cluster_10452"
"12","GO:0036381","pyridoxal 5'-phosphate synthase (glutamine hydrolys...",1,1,0.03,0.0317,"Molecular.Function","Cluster_10452"
"13","GO:0006886","intracellular protein transport",4,2,0.08,0.0022,"Biological.Process","Cluster_11565"
"14","GO:0002225","positive regulation of antimicrobial peptide produc...",1,1,0.02,0.0199,"Biological.Process","Cluster_11565"
"15","GO:0000289","nuclear-transcribed mRNA poly(A) tail shortening",2,1,0.04,0.0395,"Biological.Process","Cluster_11565"
"16","GO:0001578","microtubule bundle formation",2,1,0.04,0.0395,"Biological.Process","Cluster_11565"
"17","GO:0004467","long-chain fatty acid-CoA ligase activity",1,1,0.03,0.03,"Molecular.Function","Cluster_11565"
"18","GO:0004997","thyrotropin-releasing hormone receptor activity",1,1,0.03,0.03,"Molecular.Function","Cluster_11565"
"19","GO:0004335","galactokinase activity",1,1,0.03,0.03,"Molecular.Function","Cluster_11565"
"20","GO:0005220","inositol 1,4,5-trisphosphate-gated calcium channel ...",1,1,0.03,0.03,"Molecular.Function","Cluster_11565"
"21","GO:0003844","1,4-alpha-glucan branching enzyme activity",1,1,0.03,0.03,"Molecular.Function","Cluster_11565"
"22","GO:0000349","generation of catalytic spliceosome for first trans...",1,1,0.02,0.022,"Biological.Process","Cluster_12081"
"23","GO:0000390","spliceosomal complex disassembly",1,1,0.02,0.022,"Biological.Process","Cluster_12081"
"24","GO:0002520","immune system development",1,1,0.02,0.022,"Biological.Process","Cluster_12081"
"25","GO:0001502","cartilage condensation",2,1,0.04,0.044,"Biological.Process","Cluster_12081"
"26","GO:0001895","retina homeostasis",2,1,0.04,0.044,"Biological.Process","Cluster_12081"
"27","GO:0001503","ossification",42,3,0.93,0.046,"Biological.Process","Cluster_12081"
"28","GO:0003964","RNA-directed DNA polymerase activity",122,11,3.65,0.00083,"Molecular.Function","Cluster_12081"
"29","GO:0047869","dimethylpropiothetin dethiomethylase activity",19,4,0.57,0.00205,"Molecular.Function","Cluster_12081"
"30","GO:0000048","peptidyltransferase activity",1,1,0.03,0.02993,"Molecular.Function","Cluster_12081"
"31","GO:0005436","sodium:phosphate symporter activity",1,1,0.03,0.02993,"Molecular.Function","Cluster_12081"
"32","GO:0004013","adenosylhomocysteinase activity",1,1,0.03,0.02993,"Molecular.Function","Cluster_12081"
"33","GO:0004095","carnitine O-palmitoyltransferase activity",1,1,0.03,0.02993,"Molecular.Function","Cluster_12081"
