Warning: [blastp] Examining 5 or more matches is recommended
Warning: [Query 1-32] Examining 5 or more matches is recommended
Warning: [Query 33-69] Examining 5 or more matches is recommended
Warning: [Query 70-134] Examining 5 or more matches is recommended
Warning: [Query 135-188] Examining 5 or more matches is recommended
Warning: [Query 189-218] Examining 5 or more matches is recommended
Warning: [Query 219-229] Examining 5 or more matches is recommended
Warning: [Query 230-250] Examining 5 or more matches is recommended
Warning: [Query 251-282] Examining 5 or more matches is recommended
Warning: [Query 283-311] Examining 5 or more matches is recommended
Warning: [Query 312-332] Examining 5 or more matches is recommended
Warning: [Query 333-345] Examining 5 or more matches is recommended
Warning: [Query 346-362] Examining 5 or more matches is recommended
Warning: [Query 363-385] Examining 5 or more matches is recommended
Warning: [Query 386-411] Examining 5 or more matches is recommended
Warning: [Query 412-433] Examining 5 or more matches is recommended
Warning: [Query 460-479] Examining 5 or more matches is recommended
Warning: [Query 434-459] Examining 5 or more matches is recommended
Warning: [Query 480-506] Examining 5 or more matches is recommended
Warning: [Query 549-581] Examining 5 or more matches is recommended
Warning: [Query 582-605] Examining 5 or more matches is recommended
Warning: [Query 507-530] Examining 5 or more matches is recommended
Warning: [Query 606-626] Examining 5 or more matches is recommended
Warning: [Query 627-647] Examining 5 or more matches is recommended
Warning: [Query 531-548] Examining 5 or more matches is recommended
Warning: [Query 648-666] Examining 5 or more matches is recommended
Warning: [Query 667-692] Examining 5 or more matches is recommended
Warning: [Query 693-710] Examining 5 or more matches is recommended
Warning: [Query 711-739] Examining 5 or more matches is recommended
Warning: [Query 740-763] Examining 5 or more matches is recommended
Warning: [Query 764-781] Examining 5 or more matches is recommended
Warning: [Query 782-811] Examining 5 or more matches is recommended
Warning: [Query 812-820] Examining 5 or more matches is recommended
Warning: [Query 821-837] Examining 5 or more matches is recommended
Warning: [Query 838-865] Examining 5 or more matches is recommended
Warning: [Query 866-883] Examining 5 or more matches is recommended
Warning: [Query 884-890] Examining 5 or more matches is recommended
Warning: [Query 891-916] Examining 5 or more matches is recommended
Warning: [Query 939-952] Examining 5 or more matches is recommended
Warning: [Query 953-979] Examining 5 or more matches is recommended
Warning: [Query 980-1006] Examining 5 or more matches is recommended
Warning: [Query 917-938] Examining 5 or more matches is recommended
Warning: [Query 1007-1020] Examining 5 or more matches is recommended
Warning: [Query 1021-1043] Examining 5 or more matches is recommended
Warning: [Query 1044-1068] Examining 5 or more matches is recommended
Warning: [Query 1069-1097] Examining 5 or more matches is recommended
Warning: [Query 1098-1113] Examining 5 or more matches is recommended
Warning: [Query 1114-1133] Examining 5 or more matches is recommended
Warning: [Query 1134-1149] Examining 5 or more matches is recommended
Warning: [Query 1150-1170] Examining 5 or more matches is recommended
Warning: [Query 1171-1188] Examining 5 or more matches is recommended
Warning: [Query 1189-1210] Examining 5 or more matches is recommended
Warning: [Query 1211-1239] Examining 5 or more matches is recommended
Warning: [Query 1240-1266] Examining 5 or more matches is recommended
Warning: [Query 1267-1274] Examining 5 or more matches is recommended
Warning: [Query 1275-1299] Examining 5 or more matches is recommended
Warning: [Query 1300-1322] Examining 5 or more matches is recommended
Warning: [Query 1323-1351] Examining 5 or more matches is recommended
Warning: [Query 1352-1370] Examining 5 or more matches is recommended
Warning: [Query 1371-1387] Examining 5 or more matches is recommended
Warning: [Query 1388-1408] Examining 5 or more matches is recommended
Warning: [Query 1409-1428] Examining 5 or more matches is recommended
Warning: [Query 1429-1446] Examining 5 or more matches is recommended
Warning: [Query 1447-1463] Examining 5 or more matches is recommended
Warning: [Query 1464-1484] Examining 5 or more matches is recommended
Warning: [Query 1485-1511] Examining 5 or more matches is recommended
Warning: [Query 1512-1522] Examining 5 or more matches is recommended
Warning: [Query 1523-1548] Examining 5 or more matches is recommended
Warning: [Query 1549-1581] Examining 5 or more matches is recommended
Warning: [Query 1582-1601] Examining 5 or more matches is recommended
Warning: [Query 1602-1626] Examining 5 or more matches is recommended
Warning: [Query 1627-1651] Examining 5 or more matches is recommended
Warning: [Query 1652-1681] Examining 5 or more matches is recommended
Warning: [Query 1682-1701] Examining 5 or more matches is recommended
Warning: [Query 1702-1727] Examining 5 or more matches is recommended
Warning: [Query 1728-1763] Examining 5 or more matches is recommended
Warning: [Query 1764-1791] Examining 5 or more matches is recommended
Warning: [Query 1792-1803] Examining 5 or more matches is recommended
Warning: [Query 1804-1844] Examining 5 or more matches is recommended
Warning: [Query 1845-1878] Examining 5 or more matches is recommended
Warning: [Query 1879-1914] Examining 5 or more matches is recommended
Warning: [Query 1915-1952] Examining 5 or more matches is recommended
Warning: [Query 1953-1994] Examining 5 or more matches is recommended
Warning: [Query 1995-2028] Examining 5 or more matches is recommended
Warning: [Query 2029-2074] Examining 5 or more matches is recommended
Warning: [Query 2075-2099] Examining 5 or more matches is recommended
Warning: [Query 2100-2114] Examining 5 or more matches is recommended
Warning: [Query 2115-2129] Examining 5 or more matches is recommended
Warning: [Query 2130-2152] Examining 5 or more matches is recommended
Warning: [Query 2153-2180] Examining 5 or more matches is recommended
Warning: [Query 2181-2212] Examining 5 or more matches is recommended
Warning: [Query 2213-2230] Examining 5 or more matches is recommended
Warning: [Query 2231-2248] Examining 5 or more matches is recommended
Warning: [Query 2249-2259] Examining 5 or more matches is recommended
Warning: [Query 2260-2272] Examining 5 or more matches is recommended
Warning: [Query 2273-2285] Examining 5 or more matches is recommended
Warning: [Query 2286-2298] Examining 5 or more matches is recommended
Warning: [Query 2299-2311] Examining 5 or more matches is recommended
Warning: [Query 2312-2323] Examining 5 or more matches is recommended
Warning: [Query 2324-2335] Examining 5 or more matches is recommended
Warning: [Query 2336-2347] Examining 5 or more matches is recommended
Warning: [Query 2348-2362] Examining 5 or more matches is recommended
Warning: [Query 2363-2398] Examining 5 or more matches is recommended
Warning: [Query 2399-2420] Examining 5 or more matches is recommended
Warning: [Query 2421-2433] Examining 5 or more matches is recommended
Warning: [Query 2434-2447] Examining 5 or more matches is recommended
Warning: [Query 2448-2474] Examining 5 or more matches is recommended
Warning: [Query 2475-2506] Examining 5 or more matches is recommended
Warning: [Query 2507-2538] Examining 5 or more matches is recommended
Warning: [Query 2539-2579] Examining 5 or more matches is recommended
Warning: [Query 2580-2593] Examining 5 or more matches is recommended
Warning: [Query 2594-2629] Examining 5 or more matches is recommended
Warning: [Query 2630-2672] Examining 5 or more matches is recommended
Warning: [Query 2673-2701] Examining 5 or more matches is recommended
Warning: [Query 2702-2743] Examining 5 or more matches is recommended
Warning: [Query 2744-2775] Examining 5 or more matches is recommended
Warning: [Query 2776-2818] Examining 5 or more matches is recommended
Warning: [Query 2819-2863] Examining 5 or more matches is recommended
Warning: [Query 2864-2907] Examining 5 or more matches is recommended
Warning: [Query 2908-2938] Examining 5 or more matches is recommended
Warning: [Query 2939-2980] Examining 5 or more matches is recommended
